Geography,Name,Level,Year,property_crime_rate,violent_crime_rate
NYC,New York City,City,2023,9.0,5.3
BX,The Bronx,Boro,2023,10.7,9.2
BK,Brooklyn,Boro,2023,7.1,4.6
MN,Manhattan,Boro,2023,14.0,5.5
QN,Queens,Boro,2023,7.3,3.9
SI,Staten Island,Boro,2023,4.8,2.7
BX 01,Mott Haven/Melrose,Community District,2023,14.0,16.8
BX 02,Hunts Point/Longwood,Community District,2023,16.5,15.0
BX 03,Morrisania/Crotona,Community District,2023,11.8,12.2
BX 04,Highbridge/Concourse,Community District,2023,11.2,11.2
BX 05,Fordham/University Heights,Community District,2023,8.0,9.3
BX 06,Belmont/East Tremont,Community District,2023,12.2,13.1
BX 07,Kingsbridge Heights/Bedford,Community District,2023,8.3,7.9
BX 08,Riverdale/Fieldston,Community District,2023,10.6,3.1
BX 09,Parkchester/Soundview,Community District,2023,10.2,7.3
BX 10,Throgs Neck/Co-op City,Community District,2023,9.7,3.7
BX 11,Morris Park/Bronxdale,Community District,2023,11.0,5.6
BX 12,Williamsbridge/Baychester,Community District,2023,9.9,8.3
BK 01,Greenpoint/Williamsburg,Community District,2023,10.8,3.5
BK 02,Fort Greene/Brooklyn Heights,Community District,2023,12.7,5.9
BK 03,Bedford Stuyvesant,Community District,2023,7.9,6.3
BK 04,Bushwick,Community District,2023,9.7,7.0
BK 05,East New York/Starrett City,Community District,2023,9.8,9.0
BK 06,Park Slope/Carroll Gardens,Community District,2023,7.8,3.1
BK 07,Sunset Park,Community District,2023,6.6,3.3
BK 08,Crown Heights/Prospect Heights,Community District,2023,6.9,6.2
BK 09,South Crown Heights/Lefferts Gardens,Community District,2023,5.7,4.8
BK 10,Bay Ridge/Dyker Heights,Community District,2023,4.7,1.6
BK 11,Bensonhurst,Community District,2023,5.2,1.9
BK 12,Borough Park,Community District,2023,3.9,1.5
BK 13,Coney Island,Community District,2023,6.3,5.1
BK 14,Flatbush/Midwood,Community District,2023,4.5,3.1
BK 15,Sheepshead Bay,Community District,2023,6.1,2.5
BK 16,Brownsville,Community District,2023,6.2,9.7
BK 17,East Flatbush,Community District,2023,6.3,5.9
BK 18,Flatlands/Canarsie,Community District,2023,6.3,3.0
MN 01,Financial District,Community District,2023,13.6,3.7
MN 02,Greenwich Village/Soho,Community District,2023,32.0,6.4
MN 03,Lower East Side/Chinatown,Community District,2023,14.1,5.3
MN 04,Clinton/Chelsea,Community District,2023,16.4,6.0
MN 05,Midtown,Community District,2023,73.3,15.9
MN 06,Stuyvesant Town/Turtle Bay,Community District,2023,8.1,2.2
MN 07,Upper West Side,Community District,2023,7.6,2.4
MN 08,Upper East Side,Community District,2023,9.0,1.8
MN 09,Morningside Heights/Hamilton,Community District,2023,9.9,6.2
MN 10,Central Harlem,Community District,2023,10.0,8.5
MN 11,East Harlem,Community District,2023,10.8,10.3
MN 12,Washington Heights/Inwood,Community District,2023,8.7,5.6
QN 01,Astoria,Community District,2023,7.7,3.9
QN 02,Woodside/Sunnyside,Community District,2023,9.3,3.7
QN 03,Jackson Heights,Community District,2023,7.2,4.6
QN 04,Elmhurst/Corona,Community District,2023,8.2,6.5
QN 05,Ridgewood/Maspeth,Community District,2023,7.1,2.9
QN 06,Rego Park/Forest Hills,Community District,2023,6.0,1.4
QN 07,Flushing/Whitestone,Community District,2023,8.9,2.9
QN 08,Hillcrest/Fresh Meadows,Community District,2023,7.4,2.2
QN 09,Kew Gardens/Woodhaven,Community District,2023,5.0,3.6
QN 10,South Ozone Park/Howard Beach,Community District,2023,7.6,4.5
QN 11,Bayside/Little Neck,Community District,2023,9.0,1.3
QN 12,Jamaica/Hollis,Community District,2023,6.5,6.3
QN 13,Queens Village,Community District,2023,6.2,3.0
QN 14,Rockaway/Broad Channel,Community District,2023,4.6,4.2
SI 01,St. George/Stapleton,Community District,2023,5.2,4.7
SI 02,South Beach/Willowbrook,Community District,2023,5.2,1.7
SI 03,Tottenville/Great Kills,Community District,2023,3.9,1.1
