Geography,Name,Level,Year,pop_hispanic_pct,pop_non_hispanic_asian_pct,pop_non_hispanic_black_pct,pop_non_hispanic_white_pct
NYC,New York City,City,2022,29.1%,14.8%,20.3%,30.5%
BX,The Bronx,Boro,2022,56.6%,3.9%,28.2%,8.3%
BK,Brooklyn,Boro,2022,18.9%,12.3%,26.9%,35.7%
MN,Manhattan,Boro,2022,26.2%,12.4%,11.9%,44.5%
QN,Queens,Boro,2022,28.2%,26.1%,16.2%,22.9%
SI,Staten Island,Boro,2022,18.8%,13.0%,9.0%,55.7%
BX 01,Mott Haven/Melrose,Community District,2022,67.9%,0.4%,27.2%,2.2%
BX 02,Hunts Point/Longwood,Community District,2022,67.9%,0.4%,27.2%,2.2%
BX 03,Morrisania/Crotona,Community District,2022,62.7%,0.6%,30.3%,3.2%
BX 04,Highbridge/Concourse,Community District,2022,63.7%,1.6%,29.0%,4.2%
BX 05,Fordham/University Heights,Community District,2022,73.1%,4.6%,13.1%,7.2%
BX 06,Belmont/East Tremont,Community District,2022,62.7%,0.6%,30.3%,3.2%
BX 07,Kingsbridge Heights/Bedford,Community District,2022,64.7%,0.7%,30.3%,1.2%
BX 08,Riverdale/Fieldston,Community District,2022,47.2%,4.2%,13.0%,30.6%
BX 09,Parkchester/Soundview,Community District,2022,59.3%,9.1%,23.5%,3.9%
BX 10,Throgs Neck/Co-op City,Community District,2022,47.9%,6.0%,26.2%,17.7%
BX 11,Morris Park/Bronxdale,Community District,2022,48.3%,9.8%,20.9%,17.9%
BX 12,Williamsbridge/Baychester,Community District,2022,28.3%,2.0%,58.7%,6.3%
BK 01,Greenpoint/Williamsburg,Community District,2022,24.8%,6.1%,7.4%,56.7%
BK 02,Fort Greene/Brooklyn Heights,Community District,2022,12.1%,10.2%,15.8%,55.5%
BK 03,Bedford Stuyvesant,Community District,2022,17.8%,4.2%,41.2%,29.3%
BK 04,Bushwick,Community District,2022,42.6%,6.4%,20.1%,26.1%
BK 05,East New York/Starrett City,Community District,2022,32.8%,7.2%,49.8%,2.4%
BK 06,Park Slope/Carroll Gardens,Community District,2022,14.0%,8.8%,7.0%,62.5%
BK 07,Sunset Park,Community District,2022,40.7%,24.6%,2.4%,28.3%
BK 08,Crown Heights/Prospect Heights,Community District,2022,13.5%,4.0%,44.5%,30.7%
BK 09,South Crown Heights/Lefferts Gardens,Community District,2022,13.0%,3.3%,46.9%,28.6%
BK 10,Bay Ridge/Dyker Heights,Community District,2022,20.4%,21.9%,1.0%,53.8%
BK 11,Bensonhurst,Community District,2022,15.9%,41.3%,1.6%,38.9%
