Community District,Property Crime Rate,Violent Crime Rate,"Population under $20,000","Population between $20,001 and $40,000","Population between $40,001 and $60,000","Population between $60,001 and $100,000","Population between $100,001 and $250,000","Population over $250,000",Poverty Rate,Hispanic Population,Asian Population,Black Population,White Population
BX01,0.014,0.017,0.346,0.22,0.153,0.123,0.144,0.015,0.327,0.679,0.004,0.272,0.022
BX02,0.016,0.015,0.346,0.22,0.153,0.123,0.144,0.015,0.327,0.679,0.004,0.272,0.022
BX03,0.012,0.012,0.331,0.216,0.173,0.158,0.111,0.012,0.384,0.627,0.006,0.303,0.032
BX04,0.011,0.011,0.267,0.186,0.183,0.211,0.138,0.015,0.346,0.637,0.016,0.29,0.042
BX05,0.008,0.009,0.292,0.189,0.169,0.209,0.128,0.013,0.286,0.731,0.046,0.131,0.072
BX06,0.012,0.013,0.331,0.216,0.173,0.158,0.111,0.012,0.384,0.627,0.006,0.303,0.032
BX07,0.008,0.008,0.275,0.199,0.161,0.191,0.165,0.01,0.377,0.647,0.007,0.303,0.012
BX08,0.011,0.003,0.134,0.147,0.145,0.189,0.307,0.078,0.106,0.472,0.042,0.13,0.306
BX09,0.01,0.007,0.22,0.193,0.152,0.193,0.216,0.025,0.237,0.593,0.091,0.235,0.039
BX10,0.01,0.004,0.141,0.161,0.145,0.206,0.304,0.043,0.189,0.479,0.06,0.262,0.177
BX11,0.011,0.006,0.153,0.16,0.151,0.225,0.275,0.036,0.176,0.483,0.098,0.209,0.179
BX12,0.01,0.008,0.189,0.163,0.122,0.207,0.274,0.046,0.26,0.283,0.02,0.587,0.063
BK01,0.011,0.004,0.116,0.122,0.084,0.168,0.345,0.165,0.188,0.248,0.061,0.074,0.567
BK02,0.013,0.006,0.101,0.078,0.075,0.131,0.354,0.26,0.129,0.121,0.102,0.158,0.555
BK03,0.008,0.006,0.166,0.146,0.121,0.191,0.294,0.082,0.248,0.178,0.042,0.412,0.293
BK04,0.01,0.007,0.167,0.132,0.104,0.219,0.33,0.048,0.199,0.426,0.064,0.201,0.261
BK05,0.01,0.009,0.188,0.186,0.149,0.218,0.225,0.034,0.246,0.328,0.072,0.498,0.024
BK06,0.008,0.003,0.077,0.06,0.058,0.119,0.383,0.303,0.093,0.14,0.088,0.07,0.625
BK07,0.007,0.003,0.112,0.151,0.135,0.217,0.296,0.089,0.207,0.407,0.246,0.024,0.283
BK08,0.007,0.006,0.154,0.123,0.122,0.166,0.317,0.118,0.202,0.135,0.04,0.445,0.307
BK09,0.006,0.005,0.148,0.136,0.13,0.22,0.303,0.063,0.166,0.13,0.033,0.469,0.286
