Sub-Borough Area,Property Crime Rate,Violent Crime Rate,Low Income Population,Medium-Low Income Population,Medium Income Population,Medium-High Income Population,High Income Population,Very High Income Population,Poverty Rate,Hispanic Population,Asian Population,Black Population,White Population,Population Density,Population Aged 65+,NYS Born People,Foreign Born People,Disabled People,Unemployment Rate,Car-Free Commuters,Families with Children,People O25 with Bachelor,People O25 without Diploma
mott haven/hunts point,15.25,15.9,34.6,22.0,15.3,12.3,14.4,1.5,32.7,67.9,0.4,27.2,2.2,32.51,0.12,58.04,25.05,15.93,18.8,77.19,35.62,14.23,33.84
morrisania/belmont,12.0,12.65,33.1,21.6,17.3,15.8,11.1,1.2,38.4,62.7,0.6,30.3,3.2,40.12,0.11,54.87,28.42,16.97,19.54,66.82,34.87,14.3,32.88
highbridge/south concourse,11.2,11.2,26.7,18.6,18.3,21.1,13.8,1.5,34.6,63.7,1.6,29.0,4.2,72.76,0.12,47.72,40.28,14.96,16.48,73.42,38.64,20.6,29.07
university heights/fordham,8.0,9.3,29.2,18.9,16.9,20.9,12.8,1.3,28.6,73.1,4.6,13.1,7.2,86.19,0.09,49.26,42.73,16.43,18.87,76.35,36.92,15.59,33.34
kingsbridge heights/mosholu,8.3,7.9,27.5,19.9,16.1,19.1,16.5,1.0,37.7,64.7,0.7,30.3,1.2,83.16,0.1,45.35,42.84,9.85,16.94,71.72,34.44,18.77,25.94
riverdale/kingsbridge,10.6,3.1,13.4,14.7,14.5,18.9,30.7,7.8,10.6,47.2,4.2,13.0,30.6,31.94,0.21,51.19,36.68,12.31,12.77,60.28,29.12,44.28,13.24
soundview/parkchester,10.2,7.3,22.0,19.3,15.2,19.3,21.6,2.5,23.7,59.3,9.1,23.5,3.9,40.16,0.17,53.56,33.43,11.9,15.43,63.88,32.1,20.24,24.47
throgs neck/co-op city,9.7,3.7,14.1,16.1,14.5,20.6,30.4,4.3,18.9,47.9,6.0,26.2,17.7,13.36,0.22,65.16,22.45,10.98,9.5,56.27,24.47,30.21,10.53
pelham parkway,11.0,5.6,15.3,16.0,15.1,22.5,27.5,3.6,17.6,48.3,9.8,20.9,17.9,36.16,0.13,57.51,31.56,11.33,14.53,54.59,33.87,29.19,18.34
williamsbridge/baychester,9.9,8.3,18.9,16.3,12.2,20.7,27.4,4.6,26.0,28.3,2.0,58.7,6.3,20.02,0.14,49.94,37.02,11.86,16.19,47.28,32.43,28.64,15.19
